effective_date,entity_name,legacy_tier,legacy_status,effective_screening_state,active_rank,ranking_allowed,priority_inference_allowed
2026-08-30,Nain,Tier 1 - Develop first,Primary target,legacy_priority_superseded_unranked,,false,false
2026-08-30,Inukjuak,Tier 2 - Reference case,Reference model,reference_case_not_ranked,,false,false
2026-08-30,Kuujjuaraapik,Tier 4 - Appendix / not active,Historic / excluded from active shortlist,unranked_evidence_screening,,false,false
2026-08-30,Umiujaq,Tier 4 - Appendix / not active,No-go or very low priority,unranked_evidence_screening,,false,false
2026-08-30,Kangiqsualujjuaq,Tier 4 - Appendix / not active,"Theoretical mega-potential, not compatible",unranked_evidence_screening,,false,false
2026-08-30,Tasiujaq,Tier 4 - Appendix / not active,Watchlist only,unranked_evidence_screening,,false,false
2026-08-30,Kangirsuk,Tier 4 - Appendix / not active,Probable no-go,unranked_evidence_screening,,false,false
2026-08-30,Kuujjuaq,Tier 4 - Appendix / not active,Exclude from active shortlist,unranked_evidence_screening,,false,false
2026-08-30,Naniwa Sipi / Qikirtajuaq area,Tier 4 - Appendix / not active,Ecological no-go / protection candidate,legacy_geographic_context_only,,false,false
2026-08-30,Akulivik,Tier 3 - Screen next,Screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Aupaluk,Tier 3 - Screen next,Screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Ivujivik,Tier 3 - Screen next,Screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Kangiqsujuaq,Tier 3 - Screen next,Screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Puvirnituq,Tier 3 - Screen next,Exploratory candidate,unranked_evidence_screening,,false,false
2026-08-30,Quaqtaq,Tier 3 - Screen next,Screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Salluit,Tier 3 - Screen next,Screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Chisasibi,Boundary case,Boundary / governance reference,unranked_evidence_screening,,false,false
2026-08-30,Hopedale,Tier 3 - Screen next,Labrador replication screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Makkovik,Tier 3 - Screen next,Labrador replication screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Postville,Tier 3 - Screen next,Labrador replication screening candidate,unranked_evidence_screening,,false,false
2026-08-30,Rigolet,Tier 3 - Screen next,Labrador replication screening candidate,unranked_evidence_screening,,false,false
