map_id,layer_name,name,latitude,longitude,feature_type,category,tier,region,river_hydro_anchor,kristal_farms_status,decision_use,description,coordinate_confidence,source_note
VIL-NAIN,Villages - Kristal Farms Screening,Nain,56.5428,-61.6925,village/community,A - Priority target,Tier 1 - Develop first,Nunatsiavut / Labrador,Fraser River,Primary target,Main Kristal Farms development target,"Best fit identified: 15-20 MW run-of-river concept, coastal port access, diesel displacement, modular compute and heat reuse logic.",Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-INUKJUAK,Villages - Kristal Farms Screening,Inukjuak,58.4547,-78.1014,village/community,B - Proven reference,Tier 2 - Reference case,Nunavik / Hudson Bay,Inukjuak River / Innavik,Reference model,"Use as proof of feasibility, not main new-build target",Existing Innavik hydro project demonstrates Arctic community hydro feasibility.,Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-KUUJJUARAAPIK,Villages - Kristal Farms Screening,Kuujjuaraapik,55.283,-77.75,village/community,"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Nunavik / Hudson Bay,Great Whale River,Historic / excluded from active shortlist,Keep as historical context,Large project history with major environmental and social issues; not aligned with small community-scale model.,Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-UMIUJAQ,Villages - Kristal Farms Screening,Umiujaq,56.5536,-76.5528,village/community,"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Nunavik / Hudson Bay,Nastapoka River / Lac Guillaume-Delisle / Tursujuq area,No-go or very low priority,Keep in not-retained appendix,Protected/sensitive area context; avoid active targeting.,Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-KANGIQSUALUJJUAQ,Villages - Kristal Farms Screening,Kangiqsualujjuaq,58.7114,-65.9926,village/community,"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Nunavik / Ungava Bay,George River,"Theoretical mega-potential, not compatible",Exclude from active Kristal Farms shortlist,"Too large, remote and environmentally risky for the modular village-scale model.",Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-TASIUJAQ,Villages - Kristal Farms Screening,Tasiujaq,58.6956,-69.9306,village/community,"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Nunavik / Ungava Bay,Leaf River / Riviere aux Feuilles,Watchlist only,Do not pitch as active target,Low-slope river; likely reservoir/permafrost constraints.,Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-KANGIRSUK,Villages - Kristal Farms Screening,Kangirsuk,60.0236,-69.9994,village/community,"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Nunavik / Ungava Bay,Arnaud River / Payne River,Probable no-go,Keep as excluded or very-low-priority reference,Protected-area sensitivity and winter flow concerns.,Medium,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-KUUJJUAQ,Villages - Kristal Farms Screening,Kuujjuaq,58.1003,-68.4043,village/community,"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Nunavik / Koksoak-Ungava,Caniapiscau / Koksoak system,Exclude from active shortlist,Use only as regional comparison,"Large, partly diverted, complex and costly system; not the desired Kristal Farms profile.",Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
GEO-NANIWA-SIPI,Villages - Kristal Farms Screening,Naniwa Sipi / Qikirtajuaq area,58.2558,-67.6167,geographic hydro anchor,"C - Geographic hydro anchor, not village target",Tier 4 - Appendix / not active,Southern Ungava Bay,Riviere a la Baleine / Naniwausipi,Ecological no-go / protection candidate,"Treat as geographic reference, not village target",Sensitive coastal/river context; not a practical village target without major additional validation.,Medium,"Geographic hydro anchor from Kristal Farms screening; coordinates approximate a named river feature, not a village centroid."
VIL-AKULIVIK,Villages - Kristal Farms Screening,Akulivik,60.8006,-78.2041,village/community,D - Nunavik screening pool,Tier 3 - Screen next,Nunavik / Hudson coast,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.,Medium,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-AUPALUK,Villages - Kristal Farms Screening,Aupaluk,59.2967,-69.5996,village/community,D - Nunavik screening pool,Tier 3 - Screen next,Nunavik / Ungava coast,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.,Medium,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-IVUJIVIK,Villages - Kristal Farms Screening,Ivujivik,62.4173,-77.9253,village/community,D - Nunavik screening pool,Tier 3 - Screen next,Nunavik / Hudson Strait,To be screened,Screening candidate,Run standardized pre-feasibility screen,Remote coastal community; no specific hydro anchor validated yet.,Medium,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-KANGIQSUJUAQ,Villages - Kristal Farms Screening,Kangiqsujuaq,61.5973,-71.9603,village/community,D - Nunavik screening pool,Tier 3 - Screen next,Nunavik / Hudson Strait,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.,Medium,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
VIL-PUVIRNITUQ,Villages - Kristal Farms Screening,Puvirnituq,60.0338,-77.2756,village/community,D - Nunavik screening pool,Tier 3 - Screen next,Nunavik / Hudson Bay,Puvirnituq / Povungnituk River area,Exploratory candidate,Run standardized pre-feasibility screen,Related smaller river area mentioned in the earlier inventory.,Medium-high,Village inventory from Kristal Farms screening; coordinates are approximate community centroids for My Maps import.
