category,tier,village_community,region,river_hydro_anchor,kristal_farms_status,decision_use,notes
A - Priority target,Tier 1 - Develop first,Nain,Nunatsiavut / Labrador,Fraser River,Primary target,Main Kristal Farms development target,"Best fit identified: 15-20 MW run-of-river concept, coastal port access, diesel displacement, modular compute and heat reuse logic."
B - Proven reference,Tier 2 - Reference case,Inukjuak,Nunavik / Hudson Bay,Inukjuak River / Innavik,Reference model,"Use as proof of feasibility, not main new-build target",Existing Innavik hydro project demonstrates Arctic community hydro feasibility.
"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Kuujjuaraapik,Nunavik / Hudson Bay,Great Whale River,Historic / excluded from active shortlist,Keep as historical context,Large project history with major environmental and social issues; not aligned with small community-scale model.
"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Umiujaq,Nunavik / Hudson Bay,Nastapoka River / Lac Guillaume-Delisle / Tursujuq area,No-go or very low priority,Keep in not-retained appendix,Protected/sensitive area context; avoid active targeting.
"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Kangiqsualujjuaq,Nunavik / Ungava Bay,George River,"Theoretical mega-potential, not compatible",Exclude from active Kristal Farms shortlist,"Too large, remote and environmentally risky for the modular village-scale model."
"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Tasiujaq,Nunavik / Ungava Bay,Leaf River / Riviere aux Feuilles,Watchlist only,Do not pitch as active target,Low-slope river; likely reservoir/permafrost constraints.
"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Kangirsuk,Nunavik / Ungava Bay,Arnaud River / Payne River,Probable no-go,Keep as excluded or very-low-priority reference,Protected-area sensitivity and winter flow concerns.
"C - Hydro-linked, not priority",Tier 4 - Appendix / not active,Kuujjuaq,Nunavik / Koksoak-Ungava,Caniapiscau / Koksoak system,Exclude from active shortlist,Use only as regional comparison,"Large, partly diverted, complex and costly system; not the desired Kristal Farms profile."
"C - Geographic hydro anchor, not village target",Tier 4 - Appendix / not active,Naniwa Sipi / Qikirtajuaq area,Southern Ungava Bay,Riviere a la Baleine,Ecological no-go / protection candidate,"Treat as geographic reference, not village target",Sensitive coastal/river-mouth context; not a practical village target without major additional validation.
D - Nunavik screening pool,Tier 3 - Screen next,Akulivik,Nunavik / Hudson coast,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.
D - Nunavik screening pool,Tier 3 - Screen next,Aupaluk,Nunavik / Ungava coast,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.
D - Nunavik screening pool,Tier 3 - Screen next,Ivujivik,Nunavik / Hudson Strait,To be screened,Screening candidate,Run standardized pre-feasibility screen,Remote coastal community; no specific hydro anchor validated yet.
D - Nunavik screening pool,Tier 3 - Screen next,Kangiqsujuaq,Nunavik / Hudson Strait,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.
D - Nunavik screening pool,Tier 3 - Screen next,Puvirnituq,Nunavik / Hudson Bay,Puvirnituq / Povungnituk River area,Exploratory candidate,Run standardized pre-feasibility screen,Related smaller river area mentioned in the earlier inventory.
D - Nunavik screening pool,Tier 3 - Screen next,Quaqtaq,Nunavik / Hudson Strait / Ungava side,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.
D - Nunavik screening pool,Tier 3 - Screen next,Salluit,Nunavik / Hudson Strait,To be screened,Screening candidate,Run standardized pre-feasibility screen,No specific hydro anchor validated in the source inventory.
D - Boundary / special case,Boundary case,Chisasibi,James Bay / outside Nunavik territory,Existing large hydro context nearby,Boundary / governance reference,Keep only as regional/community reference unless a separate James Bay strategy is created,Not a default Kristal Farms target in the Nunavik/Nunatsiavut shortlist.
E - Nunatsiavut screening pool,Tier 3 - Screen next,Hopedale,Nunatsiavut / Labrador,To be screened,Labrador replication screening candidate,Run standardized pre-feasibility screen after Nain,No specific hydro project anchor validated in the source inventory.
E - Nunatsiavut screening pool,Tier 3 - Screen next,Makkovik,Nunatsiavut / Labrador,To be screened,Labrador replication screening candidate,Run standardized pre-feasibility screen after Nain,No specific hydro project anchor validated in the source inventory.
E - Nunatsiavut screening pool,Tier 3 - Screen next,Postville,Nunatsiavut / Labrador,To be screened,Labrador replication screening candidate,Run standardized pre-feasibility screen after Nain,No specific hydro project anchor validated in the source inventory.
E - Nunatsiavut screening pool,Tier 3 - Screen next,Rigolet,Nunatsiavut / Labrador,To be screened,Labrador replication screening candidate,Run standardized pre-feasibility screen after Nain,No specific hydro project anchor validated in the source inventory.
